x;y;z
-2.369646;-0.1096;2.194014
-2.369718;-0.1096312;2.194019
-2.369788;-0.1096617;2.194023
-2.369858;-0.1096926;2.194028
-2.369929;-0.1097234;2.194032
-2.369999;-0.1097541;2.194037
-2.37007;-0.1097851;2.194041
-2.368882;-0.1092665;2.193965
-2.368884;-0.1092671;2.193965
-2.368883;-0.1092666;2.193965
-1.944632;-0.07992393;2.537377
-1.928677;-0.07825425;2.512956
-1.921094;-0.07712846;2.478635
-1.921094;-0.07712846;2.478635
-1.921094;-0.07712846;2.478635
-1.921094;-0.07712846;2.478635
-1.921094;-0.07712846;2.478635
-1.921094;-0.07712846;2.478635
-1.921094;-0.07712846;2.478635
-1.935944;-0.623259;1.447728
-1.929978;-0.584283;1.446435
-1.929978;-0.584283;1.446435
-2.099513;-0.6616496;1.443191
-2.107579;-0.6616318;1.434306
-2.121035;-0.6603608;1.428181
-2.121034;-0.6603604;1.428181
-2.121103;-0.6605269;1.42817
-2.121103;-0.6605272;1.42817
-2.121103;-0.6605272;1.42817
-2.541879;-0.1991509;1.607289
-2.541876;-0.1991496;1.607288
-2.531312;-0.1784208;1.52593
-2.545887;-0.1770757;1.528112
-2.544527;-0.1775483;1.527179
-2.53122;-0.1784179;1.524237
-2.501382;-0.1783315;1.523436
-2.479402;-0.1782681;1.524025
-2.46169;-0.1807489;1.52253
-2.460089;-0.1796122;1.520383
-2.467695;-0.1782298;1.519441
-2.479391;-0.1782625;1.519549
-2.487249;-0.1782857;1.521181
-2.48331;-0.1782771;1.527263
-2.478209;-0.1819673;1.532025
-2.488184;-0.183167;1.538315
-2.497334;-0.1783184;1.533365
-2.493137;-0.1782946;1.514357
-2.491936;-0.1785571;1.511932
-2.249701;-0.1433001;1.54801
-2.279317;-0.1653987;1.558689
-2.290106;-0.1729163;1.562582
-2.290106;-0.1729163;1.562582
-2.290106;-0.1729163;1.562582
-2.290106;-0.1729163;1.562582
-2.290106;-0.1729163;1.562582
 ; ; 
-2.543928;-0.1786239;1.522942
 ; ; 
 ; ; 
-2.31587;-0.1073864;1.525595
-2.28133;-0.1070502;1.5335
-2.276134;-0.1070548;1.540999
-2.272036;-0.1070788;1.549291
-2.282397;-0.1072398;1.553819
-2.282815;-0.108476;1.560215
-2.298235;-0.1163263;1.565792
-2.270434;-0.1182138;1.650792
-2.270435;-0.1182139;1.650792
-2.270432;-0.1182129;1.650792
-1.928073;-0.01280048;2.025181
-1.932181;-0.01349303;2.035944
-1.938097;-0.01393297;2.038569
-1.942585;-0.01447287;2.045321
-1.939346;-0.01398212;2.038114
-1.931602;-0.01344621;2.035599
-1.931602;-0.01344621;2.035599
-1.943063;-0.01513061;2.059906
-1.959815;-0.08309141;2.647377
-1.948619;-0.08267075;2.681751
-1.947769;-0.08287987;2.701067
-1.960805;-0.0830434;2.638419
-1.951767;-0.08276093;2.670132
-1.944166;-0.08228621;2.680368
-1.935503;-0.08148527;2.674008
-1.946056;-0.08201677;2.650962
-1.942501;-0.08160388;2.642515
-1.956101;-0.08246812;2.625241
-1.953928;-0.08209687;2.61184
-1.94925;-0.08148229;2.595787
-1.956671;-0.08203897;2.592257
-1.965605;-0.0828611;2.59854
-1.967256;-0.08303753;2.601407
-1.968239;-0.08313906;2.602866
-1.874783;-0.1087228;2.436911
-1.873423;-0.1094759;2.436586
-1.875952;-0.1111504;2.437207
-1.875244;-0.1128018;2.437044
-1.876548;-0.1174401;2.437385
-1.876451;-0.1180893;2.437365
-1.880279;-0.1187238;2.438294
-1.882503;-0.1187811;2.438833
-1.885515;-0.1193973;2.439565
-1.884141;-0.1175547;2.439222
-1.883732;-0.1164413;2.439117
-1.882531;-0.1135425;2.438811
-1.880989;-0.1134001;2.438437
-1.882616;-0.1148412;2.438839
-1.887118;-0.1108508;2.439907
-1.886457;-0.1106196;2.439745
-1.88888;-0.1145624;2.440353
-1.883775;-0.1193238;2.439143
-1.883775;-0.1193238;2.439143
-2.068997;-0.02191016;2.056071
-2.106009;-0.02428237;2.063712
-2.120511;-0.02520284;2.066498
-2.090061;-0.02290687;2.052257
-2.06716;-0.02118352;2.041625
-2.052413;-0.02014157;2.036347
-2.020734;-0.01803949;2.02815
-1.95833;-0.01590127;2.058256
-1.876525;-0.07433376;2.512951
-1.85687;-0.07272729;2.513129
-1.857925;-0.07267749;2.503694
-1.852194;-0.07211319;2.49709
-1.856398;-0.07247838;2.498555
-1.870221;-0.07377306;2.509853
-1.890597;-0.07568607;2.526831
-1.899972;-0.07664934;2.540635
-1.905832;-0.07706916;2.536428
-1.89344;-0.07584313;2.521657
-2.052353;-0.09198803;2.740708
-2.038939;-0.09081972;2.735825
-2.025476;-0.08946729;2.718343
-2.035197;-0.09028323;2.719732
-2.069186;-0.09339398;2.742632
-2.067595;-0.0927783;2.708665
-2.067595;-0.0927783;2.708665
-2.067595;-0.0927783;2.708665
-1.813216;-0.1776661;2.422405
-1.813216;-0.1776661;2.422405
-1.857913;-0.08531369;2.43271
-1.857913;-0.08531369;2.43271
-1.93476;-0.6871911;2.468937
-1.916733;-0.6915391;2.459679
-1.898312;-0.6918933;2.452474
-1.866958;-0.6743661;2.44612
-1.833221;-0.6732239;2.439329
-1.787774;-0.5202844;2.408354
-1.761631;-0.5203265;2.408806
-1.734283;-0.5203534;2.40605
-1.68272;-0.5203503;2.390565
-1.679041;-0.5203273;2.385088
-1.683415;-0.5203096;2.382999
-1.697873;-0.5203407;2.393113
-1.701201;-0.5203676;2.399207
-1.71212;-0.5203766;2.404085
-1.719683;-0.5203574;2.402595
-1.728393;-0.5203211;2.398182
-1.735116;-0.5202503;2.386628
-1.735116;-0.5202503;2.386628
-1.735116;-0.5202503;2.386628
-1.735116;-0.5202503;2.386628
-1.735116;-0.5202503;2.386628
-2.153561;-0.02686846;2.062867
-2.153561;-0.02686846;2.062867
-2.154796;-0.02741823;2.062841
-3.516018;-0.6768644;0.8392607
-3.510272;-0.6772394;0.8514946
-2.646817;-0.2461547;1.362758
